Date,Rs,u2,Tmax,Tmin,RH,pr,ETO
1990-06-08,17.3,0.6,31.7,24.0,83.7,13.6,3.6
1990-06-09,21.5,0.1,32.8,24.6,83.0,1.5,4.4
1990-06-10,15.6,0.6,30.9,24.0,85.7,7.1,3.3
1990-06-11,20.7,0.2,32.1,24.2,86.1,6.4,4.2
1990-06-12,19.6,0.1,31.5,25.0,85.3,0.8,4.0
1990-06-13,18.8,0.2,30.7,24.8,84.4,14.0,3.8
1990-06-14,15.1,0.9,30.9,24.6,85.4,14.4,3.2
1990-06-15,17.0,0.9,31.3,23.9,85.6,5.3,3.6
1990-06-16,16.6,0.8,30.3,24.6,85.6,13.8,3.5
1990-06-17,19.1,0.6,31.8,24.8,85.4,7.9,4.0
1990-06-18,20.2,1.0,32.2,23.7,83.8,4.8,4.2
1990-06-19,20.9,0.2,32.2,23.2,84.9,3.5,4.2
1990-06-20,15.9,0.1,30.9,23.8,87.0,18.7,3.2
1990-06-21,14.3,1.4,30.8,24.0,88.2,12.2,3.1
1990-06-22,22.1,1.0,31.9,25.4,82.6,9.8,4.6
1990-06-23,21.1,0.6,31.9,25.2,82.8,2.2,4.3
1990-06-24,21.4,1.1,31.9,24.6,81.1,4.8,4.4
1990-06-25,15.4,0.6,30.5,24.2,86.9,7.4,3.2
1990-06-26,17.1,0.6,31.3,24.4,84.5,14.6,3.6
1990-06-27,19.7,0.4,31.9,23.6,85.7,9.0,4.0
1990-06-28,20.6,0.2,31.3,23.0,83.7,21.3,4.0
1990-06-29,15.5,0.6,29.5,24.7,84.0,4.8,3.2
1990-06-30,19.3,1.1,31.7,24.0,85.2,7.3,4.0
1990-07-01,17.6,0.4,30.9,24.5,85.7,5.9,3.6
1990-07-02,20.2,0.1,32.1,24.6,84.9,4.3,4.1
1990-07-03,19.4,0.6,30.5,24.6,83.6,1.9,3.9
1990-07-04,20.0,0.3,31.8,24.6,82.0,3.2,4.0
1990-07-05,21.2,0.4,32.1,23.8,83.5,2.2,4.2
1990-07-06,13.6,0.4,28.3,23.9,86.5,13.3,2.8
1990-07-07,19.7,0.6,30.3,23.6,84.9,4.1,3.9
1990-07-08,13.0,0.3,28.9,23.9,83.4,0.6,2.7
1990-07-09,16.1,0.1,31.7,23.8,86.2,4.8,3.3
1990-07-10,18.9,0.8,30.9,23.6,85.5,2.4,3.8
1990-07-11,15.2,0.4,30.5,24.6,88.9,12.1,3.2
1990-07-12,15.7,1.1,30.3,23.7,85.8,22.2,3.3
1990-07-13,18.0,0.6,30.9,23.6,87.1,10.2,3.7
1990-07-14,17.4,0.9,31.5,24.2,86.9,11.7,3.6
1990-07-15,16.6,0.8,31.6,23.3,86.9,5.0,3.5
1990-07-16,21.5,0.1,32.2,24.0,85.1,4.3,4.3
1990-07-17,13.1,0.1,29.9,24.6,87.9,0.1,2.7
1990-07-18,15.5,1.0,30.8,24.6,89.2,0.0,3.3
1990-07-19,15.9,0.3,30.3,24.0,86.6,0.0,3.3
1990-07-20,21.3,0.5,31.7,23.6,84.2,8.8,4.3
1990-07-21,20.0,0.4,30.5,22.7,86.1,36.7,3.9
1990-07-22,20.7,1.0,31.3,24.2,83.4,2.4,4.2
1990-07-23,23.1,0.6,32.2,24.0,82.0,4.5,4.7
1990-07-24,20.9,0.1,32.2,24.5,82.7,0.0,4.2
1990-07-25,16.4,0.3,29.1,23.8,85.9,19.5,3.3
1990-07-26,21.8,0.4,32.2,23.7,84.0,0.0,4.4
1990-07-27,20.9,0.8,32.4,24.6,81.6,0.0,4.4
1990-07-28,21.6,0.4,32.4,24.3,83.1,0.2,4.4
1990-07-29,21.4,0.1,31.7,23.7,84.7,0.9,4.3
1990-07-30,20.5,0.6,31.7,24.0,85.1,0.7,4.2
1990-07-31,16.9,0.6,29.9,23.6,88.9,0.1,3.4
1990-08-01,22.8,0.3,31.9,22.9,84.6,15.9,4.5
1990-08-02,23.0,0.1,32.1,23.2,83.4,9.6,4.5
1990-08-03,13.8,0.3,29.3,24.0,88.2,7.1,2.9
1990-08-04,16.5,0.1,31.2,23.8,85.8,4.0,3.4
1990-08-05,23.6,1.6,31.9,25.0,79.8,7.6,5.0
1990-08-06,22.8,0.2,32.2,23.5,82.3,0.3,4.5
1990-08-07,21.7,0.2,32.8,24.2,81.9,0.5,4.4
1990-08-08,18.3,1.5,32.4,24.0,84.8,0.5,4.0
1990-08-09,24.0,1.5,31.7,24.8,80.6,1.4,5.0
1990-08-10,23.4,2.0,31.5,23.8,79.7,0.2,4.9
1990-08-11,23.4,2.2,32.1,22.2,80.3,1.4,5.0
1990-08-12,22.9,0.3,32.2,22.2,80.8,0.0,4.5
1990-08-13,22.3,1.3,32.6,24.0,82.4,1.1,4.7
1990-08-14,21.5,0.9,32.2,24.2,82.8,0.0,4.5
1990-08-15,21.4,2.2,32.1,24.2,84.5,0.1,4.6
1990-08-16,18.2,1.0,32.4,24.0,84.6,2.6,3.9
1990-08-17,23.6,0.4,33.1,24.2,82.4,2.2,4.8
1990-08-18,18.1,0.6,31.9,23.2,84.5,19.7,3.8
1990-08-19,22.5,0.1,32.2,23.9,79.9,10.1,4.5
1990-08-20,23.6,0.1,33.4,24.6,80.2,0.0,4.8
1990-08-21,22.9,0.1,33.1,24.0,81.8,0.5,4.7
1990-08-22,20.8,2.0,32.4,25.0,82.4,0.3,4.6
1990-08-23,22.9,1.1,32.8,25.7,80.6,2.2,4.9
1990-08-24,21.8,2.0,32.8,25.0,78.8,0.6,4.9
1990-08-25,23.7,3.2,32.7,25.2,77.8,1.9,5.5
1990-08-26,19.3,2.7,32.2,25.4,77.8,0.0,4.7
1990-08-27,24.3,2.0,32.1,26.2,78.3,0.8,5.3
1990-08-28,23.9,1.8,32.7,24.4,78.2,0.0,5.2
1990-08-29,24.3,0.6,33.3,23.7,78.9,0.0,5.0
1990-08-30,23.1,0.4,33.8,23.5,80.7,0.0,4.8
1990-08-31,24.9,1.6,32.2,23.6,78.4,4.3,5.2
1990-09-01,23.0,3.2,32.2,24.8,80.1,0.0,5.2
1990-09-02,21.3,0.6,32.8,24.3,81.4,0.1,4.5
1990-09-03,24.2,0.6,33.1,25.6,77.5,0.0,5.1
1990-09-04,23.9,0.8,33.2,23.8,78.7,0.9,5.0
1990-09-05,23.9,1.1,34.0,25.6,77.9,0.0,5.2
1990-09-06,20.5,2.0,33.4,25.3,80.6,1.3,4.7
1990-09-07,23.9,3.1,32.8,25.0,75.4,0.0,5.7
1990-09-08,24.7,1.3,33.8,23.6,75.5,1.3,5.4
1990-09-09,24.6,1.7,33.7,23.6,76.4,1.7,5.4
1990-09-10,22.6,1.8,33.7,24.5,78.9,1.6,5.1
1990-09-11,24.5,1.5,34.0,25.8,78.4,0.0,5.5
1990-09-12,22.2,1.5,33.2,25.4,79.3,0.0,5.0
1990-09-13,24.8,2.0,33.4,24.3,75.9,0.0,5.6
1990-09-14,24.6,1.8,33.8,23.5,75.7,0.0,5.5
1990-09-15,22.3,1.8,32.7,24.2,78.9,0.0,4.9
1990-09-16,23.7,1.6,32.4,24.2,79.3,3.8,5.1
1990-09-17,24.7,1.6,33.0,24.2,78.1,1.5,5.3
1990-09-18,24.3,0.4,33.4,24.1,78.7,1.7,5.0
1990-09-19,18.8,1.1,32.1,25.0,85.9,0.3,4.1
1990-09-20,23.9,1.7,33.2,25.8,81.8,0.2,5.3
1990-09-21,23.6,1.8,33.4,25.3,82.1,0.0,5.2
1990-09-22,24.9,2.0,33.8,24.6,79.2,1.7,5.5
1990-09-23,24.2,2.2,34.0,25.6,78.3,3.6,5.6
1990-09-24,24.9,1.6,33.4,24.8,77.4,1.8,5.5
1990-09-25,23.5,1.3,33.9,24.8,79.9,2.7,5.2
1990-09-26,16.3,0.6,32.1,23.3,84.8,5.0,3.5
1990-09-27,23.3,1.1,32.2,23.0,80.9,39.2,4.9
1990-09-28,20.6,1.8,32.8,25.6,80.8,3.8,4.7
1990-09-29,20.9,2.2,32.2,24.1,79.9,0.1,4.8
1990-09-30,19.4,0.9,32.8,24.3,79.5,2.1,4.3
1990-10-01,23.6,1.1,33.0,21.3,80.5,0.0,4.9
1990-10-02,20.7,1.8,31.8,24.0,81.1,9.3,4.6
1990-10-03,22.7,1.5,32.8,24.6,81.6,2.5,4.9
1990-10-04,24.0,1.6,33.2,24.4,77.9,0.0,5.3
1990-10-05,23.4,1.7,32.8,24.4,77.8,0.0,5.2
1990-10-06,22.1,2.3,33.0,24.4,77.2,3.2,5.1
1990-10-07,24.6,2.0,34.8,24.0,75.7,0.0,5.7
1990-10-08,23.6,1.8,33.1,24.5,73.2,0.0,5.4
1990-10-09,23.3,1.1,33.0,24.0,74.6,0.0,5.0
1990-10-10,24.5,2.2,32.8,24.5,74.5,0.0,5.6
1990-10-11,23.5,1.6,32.8,24.4,75.9,0.0,5.2
1990-10-12,20.5,0.8,33.8,24.0,80.0,0.0,4.5
1990-10-13,20.0,1.5,32.6,24.6,80.0,2.2,4.5
1990-10-14,21.7,2.0,33.0,25.0,78.6,0.8,5.0
1990-10-15,24.1,1.8,33.0,24.8,74.9,0.0,5.4
1990-10-16,20.6,1.1,33.2,24.5,76.7,0.0,4.6
1990-10-17,23.0,2.0,33.1,24.6,78.0,0.0,5.2
1990-10-18,22.8,1.5,34.0,24.6,80.6,0.0,5.1
1990-10-19,22.8,2.0,33.7,26.0,76.7,0.0,5.3
1990-10-20,23.8,2.0,33.1,25.6,78.5,0.0,5.4
1990-10-21,22.0,2.3,33.2,25.0,77.0,0.3,5.2
1990-10-22,24.9,1.3,33.4,25.0,74.6,0.2,5.5
1990-10-23,25.2,1.8,33.8,25.2,75.3,0.0,5.7
1990-10-24,23.4,2.0,33.2,25.0,75.2,0.0,5.4
1990-10-25,24.5,2.2,33.1,25.6,75.3,0.0,5.6
1990-10-26,23.8,0.9,33.4,25.0,75.2,0.0,5.1
1990-10-27,23.9,1.6,32.8,25.2,74.7,0.0,5.3
1990-10-28,23.5,2.0,33.7,24.7,75.4,0.2,5.4
1990-10-29,23.4,1.3,33.2,25.4,77.2,0.0,5.2
1990-10-30,24.1,1.6,33.2,25.8,77.8,0.2,5.3
1990-10-31,23.1,1.5,33.8,25.2,75.9,0.0,5.2
1990-11-01,23.6,2.0,33.8,24.7,75.2,0.0,5.5
1990-11-02,22.4,1.3,33.2,25.6,73.5,0.0,5.0
1990-11-03,24.1,2.0,33.8,23.9,75.6,0.0,5.5
1990-11-04,23.7,1.3,33.8,24.7,76.5,0.0,5.2
1990-11-05,24.0,1.4,33.7,24.5,76.3,0.0,5.3
1990-11-06,18.1,0.4,33.2,24.5,75.9,0.0,3.9
1990-11-07,21.9,2.0,33.5,24.5,74.1,0.3,5.2
1990-11-08,21.8,0.9,34.1,25.2,76.9,0.5,4.8
1990-11-09,20.9,1.1,33.1,24.8,78.5,3.6,4.6
1990-11-10,22.1,1.1,32.9,25.0,77.9,2.0,4.8
1990-11-11,11.8,1.5,30.1,24.4,86.2,4.7,2.8
1990-11-12,22.1,0.1,31.7,25.2,78.1,20.0,4.5
1990-11-13,23.7,0.6,32.5,24.3,74.3,2.5,4.9
1990-11-14,23.0,1.1,33.1,24.2,75.5,9.8,4.9
1990-11-15,23.0,2.7,32.7,24.5,76.8,0.0,5.3
1990-11-16,21.9,0.4,33.2,25.0,77.2,0.0,4.6
1990-11-17,19.0,2.0,32.2,24.8,77.8,0.0,4.5
1990-11-18,22.5,1.6,32.5,25.2,76.5,0.2,5.0
1990-11-19,22.0,0.9,32.7,24.6,76.9,0.0,4.7
1990-11-20,23.2,1.4,32.5,23.7,76.0,0.0,5.0
1990-11-21,22.7,1.6,32.7,24.6,75.4,0.0,5.0
1990-11-22,22.3,2.0,32.1,24.0,76.2,0.0,5.0
1990-11-23,23.5,2.0,32.7,23.7,75.6,0.0,5.2
1990-11-24,23.7,1.6,32.8,23.7,74.8,0.0,5.2
1990-11-25,21.7,1.3,32.8,24.4,77.3,0.3,4.8
1990-11-26,23.3,1.8,32.8,25.1,73.2,0.0,5.3
1990-11-27,24.0,0.9,33.1,24.0,76.1,0.0,5.0
1990-11-28,23.9,2.0,32.8,25.0,76.4,0.6,5.3
1990-11-29,23.2,1.6,33.1,24.5,77.6,0.3,5.1
1990-11-30,23.6,2.0,32.8,24.0,78.3,0.0,5.2
1990-12-01,21.4,1.6,33.1,24.2,76.8,0.0,4.8
1990-12-02,23.2,2.2,33.1,25.0,77.2,0.0,5.3
1990-12-03,23.1,1.8,33.7,24.5,77.2,1.8,5.2
1990-12-04,20.9,1.1,33.2,24.7,77.9,0.0,4.6
1990-12-05,20.7,1.8,33.2,25.0,74.6,0.0,4.9
1990-12-06,22.0,2.3,33.1,24.5,75.6,0.0,5.1
1990-12-07,21.8,2.0,33.2,24.6,76.4,0.0,5.0
1990-12-08,23.5,2.1,33.2,24.3,72.9,0.0,5.4
1990-12-09,23.4,1.8,33.2,24.6,76.1,0.0,5.2
1990-12-10,21.5,1.5,33.2,24.8,76.4,0.0,4.8
1990-12-11,20.1,1.6,33.2,25.2,75.4,0.0,4.7
1990-12-12,23.0,2.3,33.1,24.5,75.6,0.4,5.3
1990-12-13,19.4,2.0,32.8,23.7,81.2,1.9,4.4
1990-12-14,15.9,1.3,32.1,22.5,82.9,9.8,3.6
1990-12-15,12.5,0.8,31.4,23.5,90.2,8.0,2.8
1990-12-16,9.4,1.7,28.7,23.4,91.2,2.4,2.2
1990-12-17,10.0,0.3,30.2,22.7,88.9,2.2,2.2
1990-12-18,12.8,0.0,32.0,23.5,87.6,2.9,2.8
1990-12-19,20.5,1.0,31.2,23.6,83.8,4.5,4.2
1990-12-20,16.4,1.7,31.9,23.5,81.7,3.7,3.8
1990-12-21,18.3,1.5,32.2,23.1,83.9,8.5,4.0
1990-12-22,16.7,2.2,31.1,24.1,82.6,4.4,3.8
1990-12-23,21.2,0.8,31.5,23.7,79.4,1.9,4.4
1990-12-24,20.0,1.1,32.4,24.5,80.5,0.3,4.3
1990-12-25,21.9,0.9,32.0,25.0,81.2,4.6,4.6
1990-12-26,22.4,1.8,32.4,24.8,80.5,3.0,4.9
1990-12-27,19.6,1.3,32.3,24.5,77.6,2.1,4.4
1990-12-28,20.0,2.0,32.1,24.5,76.8,0.0,4.6
1990-12-29,23.1,2.0,32.4,24.5,78.2,1.6,5.1
1990-12-30,19.9,2.0,30.9,24.5,82.2,8.8,4.3
1990-12-31,20.8,1.8,33.0,24.2,80.7,2.3,4.6
1991-01-01,21.3,2.2,33.0,25.2,82.0,3.0,4.8
1991-01-02,18.6,2.2,32.8,23.2,82.2,9.0,4.3
1991-01-03,18.5,1.0,31.8,23.2,86.2,6.2,3.9
1991-01-04,12.5,0.6,28.1,22.8,89.1,19.8,2.6
1991-01-05,17.6,0.8,30.3,22.9,87.6,23.9,3.6
1991-01-06,9.5,0.8,28.3,23.3,90.1,9.0,2.1
1991-01-07,12.5,1.0,31.8,23.6,88.8,13.7,2.8
1991-01-08,18.9,1.1,31.0,23.2,88.2,4.0,3.9
1991-01-09,15.7,1.5,30.2,23.6,90.9,10.5,3.3
1991-01-10,11.7,1.1,29.9,23.5,91.8,29.5,2.5
1991-01-11,13.9,0.8,30.2,23.3,92.7,16.7,2.9
1991-01-12,14.0,1.0,29.5,23.8,88.4,16.3,3.0
1991-01-13,9.2,1.2,24.7,22.8,93.2,10.2,1.9
1991-01-14,15.3,0.2,28.7,22.8,88.2,15.6,3.1
1991-01-15,17.6,0.4,30.6,22.9,88.5,6.9,3.6
1991-01-16,11.5,1.0,28.1,23.7,91.3,11.5,2.5
1991-01-17,17.7,1.0,30.2,22.6,85.8,1.3,3.6
1991-01-18,13.8,0.6,28.3,23.6,87.9,2.5,2.9
1991-01-19,18.2,1.0,30.9,23.2,87.8,5.8,3.8
1991-01-20,19.3,1.5,30.7,23.2,82.5,13.6,4.1
1991-01-21,14.8,0.3,30.0,23.6,87.8,8.0,3.1
1991-01-22,11.7,0.1,26.1,21.9,89.5,11.2,2.4
1991-01-23,18.0,1.0,29.7,21.9,88.1,10.2,3.6
1991-01-24,13.3,1.0,28.3,23.6,88.9,9.8,2.8
1991-01-25,16.6,0.7,30.7,23.5,89.9,32.8,3.5
1991-01-26,12.4,0.3,29.3,23.6,90.2,10.0,2.7
1991-01-27,21.1,1.0,30.5,22.1,88.1,3.2,4.2
1991-01-28,20.8,1.1,30.5,23.7,86.5,12.1,4.2
1991-01-29,11.9,0.2,27.3,23.8,91.9,10.8,2.5
1991-01-30,16.5,1.3,29.5,23.2,89.9,7.4,3.4
1991-01-31,13.5,0.8,28.9,22.2,92.1,7.9,2.8
1991-02-01,10.7,0.1,26.9,22.0,88.1,1.6,2.3
1991-02-02,12.4,0.3,26.9,22.2,93.6,14.6,2.5
